Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
6-17	0.032	0.029	0.027	0.025	0.023	0.020	0.018	0.015	0.013	0.012	0.009
6-18	0.016	0.014	0.013	0.012	0.012	0.011	0.010	0.009	0.008	0.007	0.006
6-19	0.030	0.027	0.025	0.024	0.023	0.021	0.019	0.017	0.016	0.014	0.012
6-20	0.046	0.041	0.038	0.036	0.035	0.032	0.030	0.027	0.026	0.025	0.022
6-21	0.074	0.066	0.062	0.060	0.058	0.055	0.054	0.053	0.053	0.053	0.057
6-22	0.021	0.020	0.019	0.019	0.019	0.019	0.018	0.018	0.017	0.017	0.016
6-23	0.008	0.007	0.007	0.007	0.007	0.007	0.007	0.006	0.006	0.006	0.005
6-24	0.012	0.011	0.011	0.010	0.010	0.009	0.008	0.007	0.007	0.006	0.005
6-25	0.043	0.043	0.042	0.043	0.043	0.045	0.047	0.050	0.052	0.055	0.065
6-26	0.072	0.072	0.073	0.075	0.077	0.081	0.086	0.095	0.102	0.109	0.135
6-27	0.015	0.014	0.013	0.013	0.012	0.011	0.010	0.009	0.008	0.008	0.006
6-28	0.021	0.019	0.018	0.017	0.017	0.015	0.014	0.013	0.013	0.012	0.011
6-29	0.139	0.138	0.137	0.137	0.137	0.136	0.136	0.135	0.135	0.134	0.135
6-30	0.059	0.060	0.061	0.062	0.063	0.066	0.069	0.072	0.075	0.077	0.082
6-31	0.032	0.032	0.032	0.033	0.033	0.034	0.035	0.037	0.038	0.038	0.041
6-32	0.004	0.005	0.005	0.005	0.005	0.005	0.005	0.004	0.004	0.004	0.003
6-33	0.010	0.011	0.011	0.011	0.011	0.011	0.011	0.010	0.010	0.009	0.008
7-8	0.357	0.356	0.354	0.353	0.354	0.362	0.372	0.389	0.402	0.413	0.451
7-9	0.332	0.335	0.335	0.336	0.337	0.339	0.343	0.349	0.356	0.362	0.384
7-10	0.307	0.308	0.308	0.309	0.309	0.312	0.315	0.323	0.330	0.336	0.357
7-11	0.031	0.029	0.028	0.028	0.027	0.026	0.024	0.021	0.018	0.016	0.012
7-12	0.153	0.147	0.145	0.142	0.140	0.135	0.130	0.122	0.117	0.112	0.101
7-13	0.095	0.095	0.095	0.093	0.091	0.084	0.078	0.068	0.060	0.055	0.040
7-14	0.035	0.026	0.023	0.022	0.021	0.018	0.016	0.014	0.012	0.011	0.007
7-15	0.041	0.036	0.035	0.035	0.034	0.032	0.030	0.025	0.022	0.020	0.013
7-16	0.052	0.055	0.058	0.060	0.062	0.065	0.067	0.070	0.072	0.074	0.078
7-17	0.022	0.020	0.018	0.017	0.016	0.014	0.012	0.010	0.009	0.008	0.006
7-18	0.010	0.009	0.008	0.008	0.007	0.006	0.006	0.005	0.005	0.005	0.004
7-19	0.025	0.022	0.021	0.019	0.019	0.017	0.017	0.016	0.016	0.015	0.016
7-20	0.040	0.037	0.034	0.033	0.032	0.031	0.030	0.030	0.030	0.030	0.033
7-21	0.035	0.031	0.029	0.028	0.027	0.025	0.023	0.020	0.019	0.017	0.014
7-22	0.010	0.009	0.009	0.009	0.009	0.009	0.009	0.008	0.008	0.008	0.007
7-23	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.007	0.007
7-24	0.024	0.024	0.025	0.026	0.027	0.029	0.031	0.035	0.038	0.041	0.051
7-25	0.018	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.018	0.018	0.020
7-26	0.041	0.040	0.040	0.040	0.040	0.041	0.043	0.045	0.048	0.050	0.059
7-27	0.010	0.009	0.009	0.008	0.008	0.007	0.007	0.006	0.005	0.005	0.004
7-28	0.015	0.013	0.013	0.012	0.012	0.011	0.010	0.009	0.008	0.007	0.006
7-29	0.095	0.094	0.094	0.094	0.094	0.094	0.093	0.093	0.093	0.093	0.094
7-30	0.040	0.041	0.041	0.042	0.043	0.044	0.046	0.048	0.049	0.050	0.054
7-31	0.021	0.022	0.022	0.023	0.023	0.024	0.025	0.026	0.027	0.028	0.029
7-32	0.003	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
7-33	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.006	0.006
8-9	0.127	0.129	0.129	0.130	0.130	0.130	0.131	0.133	0.136	0.138	0.145
8-10	0.192	0.192	0.192	0.192	0.193	0.195	0.197	0.202	0.206	0.211	0.226
8-11	0.060	0.056	0.055	0.054	0.054	0.053	0.051	0.050	0.048	0.047	0.044
8-12	0.026	0.027	0.027	0.027	0.027	0.025	0.024	0.021	0.018	0.017	0.012
8-13	0.055	0.055	0.054	0.052	0.050	0.046	0.042	0.036	0.032	0.029	0.021
8-14	0.020	0.015	0.013	0.012	0.011	0.009	0.008	0.007	0.006	0.005	0.004
8-15	0.019	0.017	0.017	0.017	0.017	0.016	0.015	0.013	0.011	0.010	0.007
8-16	0.026	0.027	0.029	0.030	0.031	0.032	0.033	0.035	0.036	0.037	0.039
8-17	0.011	0.010	0.009	0.008	0.008	0.007	0.006	0.005	0.004	0.004	0.003
8-18	0.010	0.009	0.008	0.008	0.008	0.008	0.007	0.008	0.008	0.008	0.009
8-19	0.014	0.013	0.012	0.011	0.011	0.010	0.010	0.010	0.010	0.010	0.011
8-20	0.013	0.011	0.011	0.010	0.009	0.009	0.008	0.007	0.006	0.006	0.004
8-21	0.019	0.017	0.016	0.015	0.015	0.014	0.013	0.012	0.011	0.010	0.008
8-22	0.004	0.004	0.004	0.004	0.003	0.003	0.003	0.003	0.003	0.003	0.002
8-23	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.004
8-24	0.006	0.006	0.006	0.006	0.006	0.007	0.007	0.008	0.009	0.009	0.011
8-25	0.023	0.023	0.024	0.024	0.025	0.028	0.030	0.034	0.037	0.040	0.050
8-26	0.012	0.011	0.010	0.010	0.009	0.008	0.008	0.007	0.006	0.006	0.005
8-27	0.005	0.004	0.004	0.004	0.004	0.003	0.003	0.003	0.002	0.002	0.002
8-28	0.005	0.005	0.004	0.004	0.004	0.003	0.003	0.003	0.002	0.002	0.002
