Species,Air Wavelength (A),Vacuum Wavelength (A),Einstein A Coefficient (per sec),Oscillator Strength (per sec),gl,gu,Solar Flux (ergs/cm2/s/A),G-Factor (photons/atom/s),NIST Relative Intensity,FUV Grating Position,FUV Sensitivity (C/sec/(Kray/nm)),MUV Grating Position,MUV Sensitivity (C/sec/(Kray/nm)),VIS Grating Position,VIS Sensitivity (C/sec/(Kray/nm))
Si II,1193.2898,1193.2898,2.73E+09,5.82E-01,2,2,5.34E-03,1.90E-05,700,274.11,32.92,0,0,0,0
Si II,1194.5004,1194.5004,3.40E+09,7.27E-01,4,4,8.31E-03,3.69E-05,800,275.19,33.58,0,0,0,0
Si II,1260.4223,1260.4223,2.47E+09,1.18E+00,2,4,8.86E-03,7.51E-05,500,334.23,53.17,0,0,0,0
Si II,1264.7379,1264.7379,2.93E+09,1.05E+00,4,6,2.00E-02,1.53E-04,1000,338.1,53.94,0,0,0,0
Si II,1533.4318,1533.4318,7.50E+08,1.32E-01,4,2,2.74E-02,4.67E-05,300,582.55,14.95,0,0,0,0
Ti I,3635.462,3636.49829,9.09E+07,2.52E-01,5,7,1.88E+01,8.17E-01,600,0,0,0,0,1099.63,637.38
Ti I,3642.674,3643.71216,8.95E+07,2.29E-01,7,9,1.75E+01,6.94E-01,800,0,0,0,0,1103.01,636.35
Ti I,3653.495,3654.53595,8.69E+07,2.13E-01,9,11,1.68E+01,6.26E-01,900,0,0,0,0,1108.07,637.85
Ti I,3752.858,3753.92468,5.81E+07,1.23E-01,9,9,2.11E+01,4.93E-01,700,0,0,0,0,1154.73,636.61
Ti I,3948.67,3949.78762,5.60E+07,7.85E-02,5,3,3.01E+01,5.23E-01,600,0,0,0,0,1247.66,661.32
Ti I,3956.334,3957.45362,3.46E+07,5.81E-02,7,5,2.96E+01,3.83E-01,600,0,0,0,0,1251.33,638.96
Ti I,3958.201,3959.32111,4.88E+07,8.93E-02,9,7,2.95E+01,5.86E-01,700,0,0,0,0,1252.22,635.95
Ti I,3981.761,3982.88726,4.42E+07,1.05E-01,5,5,2.69E+01,6.41E-01,600,0,0,0,0,1263.5,608.67
Ti I,3989.758,3990.88635,4.48E+07,1.07E-01,7,7,2.70E+01,6.60E-01,700,0,0,0,0,1267.33,592.43
Ti I,3998.636,3999.76666,4.81E+07,1.15E-01,9,9,2.46E+01,6.50E-01,1000,0,0,0,0,1271.59,591.64
Ti I,5014.186,5015.58459,6.11E+06,1.38E-02,5,3,6.77E+01,4.23E-01,400,0,0,0,0,1781.94,229.3
Ti I,5064.651,5066.06301,4.37E+06,1.31E-02,9,7,6.21E+01,3.80E-01,200,0,0,0,0,1808.74,210.14
Ti I,5210.384,5211.8348,4.11E+06,1.67E-02,9,9,5.89E+01,5.00E-01,200,0,0,0,0,1887.07,181.12
Ti II,3078.651,3079.54533,1.34E+08,1.43E-01,8,6,5.06E+00,7.58E-02,200,0,0,715,15.19,843.82,531.49
Ti II,3088.042,3088.93869,1.50E+08,1.72E-01,10,8,4.39E+00,7.97E-02,300,0,0,719.28,13.89,848.07,538.4
Ti II,3234.513,3235.44663,1.71E+08,2.68E-01,10,10,5.57E+00,1.82E-01,600,0,0,0,0,914.58,602.37
Ti II,3236.581,3237.51516,1.37E+08,2.15E-01,8,8,6.21E+00,1.62E-01,400,0,0,0,0,915.53,602.61
Ti II,3239.038,3239.97278,1.26E+08,1.98E-01,6,6,5.92E+00,1.43E-01,300,0,0,0,0,916.65,602.79
Ti II,3349.405,3350.36784,1.68E+08,3.39E-01,10,12,6.52E+00,2.98E-01,1000,0,0,0,0,967.15,600.7
Ti II,3361.227,3362.19286,1.58E+08,3.35E-01,8,10,6.29E+00,2.87E-01,600,0,0,0,0,972.58,605.07
Ti II,3372.798,3373.76681,1.41E+08,3.21E-01,6,8,8.36E+00,3.69E-01,500,0,0,0,0,977.89,607.58
Ti II,3383.769,3384.74062,1.39E+08,3.58E-01,4,6,8.27E+00,4.12E-01,500,0,0,0,0,982.94,606.6
