Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
3-14	9.15e-1	9.69e-1	9.79e-1	9.29e-1	8.48e-1	7.80e-1	6.80e-1	5.63e-1
3-15	1.54	1.65	1.68	1.62	1.50	1.39	1.22	1.03
3-16	2.54	2.71	2.77	2.72	2.53	2.36	2.08	1.74
3-17	6.21e-1	5.75e-1	5.50e-1	4.68e-1	4.27e-1	4.04e-1	3.81e-1	3.57e-1
3-18	3.59	3.64	3.67	3.79	3.90	4.00	4.19	4.58
3-19	3.16e-1	2.65e-1	2.43e-1	1.87e-1	1.60e-1	1.43e-1	1.21e-1	9.66e-2
3-20	1.57	1.41	1.35	1.21	1.16	1.14	1.14	1.20
3-21	3.48	3.22	3.13	2.93	2.89	2.88	2.94	3.21
3-22	9.16e-2	9.38e-2	9.54e-2	9.96e-2	9.95e-2	9.79e-2	9.37e-2	8.53e-2
3-23	6.10e-1	6.27e-1	6.37e-1	6.70e-1	6.91e-1	7.08e-1	7.37e-1	7.82e-1
3-24	1.48	1.52	1.54	1.61	1.67	1.73	1.83	2.00
3-25	4.72e-1	4.78e-1	4.82e-1	4.98e-1	5.13e-1	5.26e-1	5.47e-1	5.69e-1
3-26	1.88	1.89	1.91	1.98	2.06	2.14	2.29	2.56
3-27	7.09	7.15	7.21	7.62	8.09	8.56	9.42	10.9
3-28	4.56e-1	4.39e-1	4.34e-1	4.15e-1	3.92e-1	3.68e-1	3.24e-1	2.62e-1
3-29	4.83e-1	4.71e-1	4.62e-1	4.54e-1	4.72e-1	4.98e-1	5.10e-1	5.36e-1
3-30	9.74e-1	9.79e-1	9.72e-1	9.55e-1	9.58e-1	9.71e-1	9.75e-1	9.66e-1
3-31	2.28e-1	2.41e-1	2.47e-1	2.72e-1	2.86e-1	2.95e-1	3.01e-1	2.89e-1
3-32	2.51e-1	2.47e-1	2.44e-1	2.27e-1	2.05e-1	1.85e-1	1.54e-1	1.16e-1
3-33	1.23e-1	1.24e-1	1.24e-1	1.18e-1	1.08e-1	9.92e-2	8.48e-2	6.78e-2
